"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","83","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","99","99","1","74.947075","0","99"
"/Fab/Materials/Standard/M_MS_Base.M_MS_Base","0","11","12","1","10.921180","33","84"
"/Game/Toeic_Room/Materials/M_Base02.M_Base02","0","6","7","1","6.401010","0","7"
"/Game/Toeic_Room/Materials/M_Vegetation.M_Vegetation","0","28","32","1","28.822142","0","32"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","177","204","6","108.749191","0","204"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","47","47","1","31.431639","0","47"
"/Game/Toeic_Room/Materials/M_Bark.M_Bark","0","3","3","1","3.289079","0","3"
"/Game/Toeic_Room/Materials/M_Base.M_Base","0","6","7","1","9.453327","0","7"
"/Game/Fab/Megascans/Decals/Dirty_Papers_ud0kfgnh/Medium/ud0kfgnh_tier_2/Textures/T_ud0kfgnh_2K_B-O_Mat.T_ud0kfgnh_2K_B-O_Mat","0","14","16","1","15.423175","0","16"
"/Game/Toeic_Room/Materials/M_Glass.M_Glass","0","10","10","1","10.978618","0","10"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","584","606","1","408.320984","0","606"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","5.235504","0","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","13.148191","0","14"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","8.821153","0","10"
"/Game/Toeic_Room/Material_Instances/M_Cubes.M_Cubes","0","3","3","1","0.000000","0","3"
"/Game/Toeic_Room/Materials/Lights/M_FlickeringLight.M_FlickeringLight","0","25","25","1","20.690474","0","25"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","37","37","1","27.930737","0","37"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","5.732825","0","6"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","6.561815","0","9"
"/MetaHumanCharacter/Materials/M_BakedGrooms.M_BakedGrooms","0","6","6","2","6.391865","0","6"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","5.030879","0","6"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","0.000000","0","2"
"/CameraCalibrationCore/Materials/M_AnamorphicUndistortionDisplacementMap.M_AnamorphicUndistortionDisplacementMap","0","7","7","1","2.918877","0","7"
"/CameraCalibrationCore/Materials/M_AnamorphicDistortionDisplacementMap.M_AnamorphicDistortionDisplacementMap","0","7","7","1","1.773116","0","7"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","4.867422","0","6"
"/CameraCalibrationCore/Materials/M_SphericalUndistortionDisplacementMap.M_SphericalUndistortionDisplacementMap","0","7","7","1","2.633079","0","7"
"/CameraCalibrationCore/Materials/M_SphericalDistortionDisplacementMap.M_SphericalDistortionDisplacementMap","0","7","7","1","1.702524","0","7"
"/CameraCalibrationCore/Materials/M_BrownConradyUDUndistortionDisplacementMap.M_BrownConradyUDUndistortionDisplacementMap","0","7","7","1","1.687313","0","7"
"/CameraCalibrationCore/Materials/M_BrownConradyUDDistortionDisplacementMap.M_BrownConradyUDDistortionDisplacementMap","0","7","7","1","1.671354","0","7"
"/CameraCalibrationCore/Materials/M_BrownConradyDUUndistortionDisplacementMap.M_BrownConradyDUUndistortionDisplacementMap","0","7","7","1","1.779080","0","7"
